trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
9900285908,Annual Membership (Austin B-cycle),400,2014-10-26 14:12:00 UTC,2823,Capital Metro HQ - East 5th at Broadway,2544,East 6th & Pedernales St.,10
9900289692,Walk Up,248,2015-10-02 21:12:01 UTC,1006,Zilker Park West,1008,Nueces @ 3rd,39
9900285987,24-Hour Kiosk (Austin B-cycle),446,2014-10-26 15:12:00 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,31
9900285989,24-Hour Kiosk (Austin B-cycle),203,2014-10-26 15:12:00 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,31
9900285991,24-Hour Kiosk (Austin B-cycle),101,2014-10-26 15:12:00 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,30
9900286140,24-Hour Kiosk (Austin B-cycle),242,2014-10-26 18:12:00 UTC,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,19
9900286143,24-Hour Kiosk (Austin B-cycle),924,2014-10-26 18:12:00 UTC,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,17
9900286171,24-Hour Kiosk (Austin B-cycle),869,2014-10-26 18:12:00 UTC,2536,Waller & 6th St.,2536,Waller & 6th St.,6
9900286214,Annual Membership (Austin B-cycle),24,2014-10-26 20:12:00 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,0
9900286540,24-Hour Kiosk (Austin B-cycle),117,2014-10-27 15:12:00 UTC,2536,Waller & 6th St.,2536,Waller & 6th St.,12
13575843,Walk Up,302,2017-01-29 16:42:52 UTC,3464,Pease Park,3464,Pease Park,47
9900287264,Annual Membership (Austin B-cycle),447,2014-10-29 08:12:00 UTC,2823,Capital Metro HQ - East 5th at Broadway,2544,East 6th & Pedernales St.,5
9900287291,24-Hour Kiosk (Austin B-cycle),894,2014-10-29 10:12:00 UTC,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,0
9900287293,24-Hour Kiosk (Austin B-cycle),996,2014-10-29 10:12:00 UTC,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,6
9900287294,24-Hour Kiosk (Austin B-cycle),894,2014-10-29 10:12:00 UTC,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,0
9900287378,Annual Membership (Austin B-cycle),827,2014-10-29 13:12:00 UTC,2823,Capital Metro HQ - East 5th at Broadway,2544,East 6th & Pedernales St.,4
9900287414,Founding Member (Austin B-cycle),864,2014-10-29 15:12:00 UTC,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,3
9900287606,Annual Membership (Austin B-cycle),513,2014-10-29 21:12:00 UTC,2536,Waller & 6th St.,2544,East 6th & Pedernales St.,10
9900287861,24-Hour Kiosk (Austin B-cycle),965,2014-10-30 14:12:00 UTC,2536,Waller & 6th St.,2536,Waller & 6th St.,59
